USD/CAD,EUR/CAD,DEM/CAD,FRF/CAD,JPY/CAD,GBP/CAD,CHF/CAD,AUD/CAD,HKD/CAD,NZD/CAD
0.66831,0.70612,1.3810,4.6318,76.687,0.44613,1.07469,1.1955,5.2127,1.5119
0.66765,0.70447,1.3778,4.6210,76.278,0.44360,1.06872,1.1837,5.2076,1.4939
0.66742,0.70627,1.3813,4.6328,77.042,0.44683,1.07504,1.1801,5.2056,1.4963
0.66658,0.69906,1.3672,4.5855,77.459,0.44478,1.06838,1.1675,5.1988,1.4736
0.66899,0.70527,1.3794,4.6263,77.640,0.44679,1.07527,1.1816,5.2179,1.4843
0.66782,0.71043,1.3895,4.6601,77.882,0.44835,1.08143,1.1865,5.2089,1.4910
0.66662,0.70852,1.3857,4.6476,77.579,0.44689,1.08131,1.1969,5.1996,1.4977
0.66773,0.70107,1.3712,4.5987,78.493,0.44595,1.07677,1.1937,5.2082,1.4837
0.66818,0.70437,1.3776,4.6204,78.678,0.45204,1.08483,1.2012,5.2116,1.4974
0.66467,0.70562,1.3801,4.6285,78.989,0.44908,1.08637,1.2009,5.1843,1.4979
0.66472,0.70917,1.3870,4.6519,77.942,0.45315,1.08956,1.1973,5.1846,1.4903
0.66133,0.71048,1.3896,4.6604,78.186,0.44905,1.09218,1.1998,5.1583,1.4901
0.65963,0.69896,1.3670,4.5849,77.700,0.44687,1.06678,1.1862,5.1448,1.4754
0.66033,0.70482,1.3785,4.6233,77.399,0.44966,1.07887,1.1847,5.1502,1.4712
0.66375,0.70801,1.3848,4.6443,77.399,0.45267,1.08578,1.1969,5.1770,1.4839
0.66375,0.70696,1.3827,4.6374,77.579,0.45094,1.08331,1.2003,5.1769,1.4883
0.66120,0.71418,1.3968,4.6847,78.125,0.45257,1.09421,1.2129,5.1571,1.5051
0.66331,0.71953,1.4073,4.7198,77.519,0.45424,1.09745,1.2166,5.1735,1.5263
0.66388,0.72062,1.4094,4.7269,77.760,0.45525,1.10047,1.2223,5.1779,1.5230
0.66627,0.72579,1.4195,4.7609,77.700,0.45729,1.10363,1.2267,5.1967,1.5337
0.66733,0.72010,1.4084,4.7235,77.220,0.45650,1.09782,1.2185,5.2048,1.5172
0.66667,0.71618,1.4007,4.6978,77.579,0.45608,1.09481,1.2160,5.1995,1.5051
0.66894,0.71261,1.3937,4.6744,77.160,0.45276,1.09206,1.2070,5.2170,1.4925
0.66952,0.71551,1.3994,4.6935,77.399,0.45544,1.09999,1.2120,5.2217,1.5033
0.66463,0.70721,1.3832,4.6390,76.394,0.45057,1.08707,1.2061,5.1836,1.5010
0.66317,0.71276,1.3940,4.6754,76.162,0.45454,1.09649,1.2076,5.1726,1.4963
0.66243,0.70987,1.3884,4.6565,76.923,0.45239,1.09111,1.2124,5.1668,1.4905
0.66173,0.72057,1.4093,4.7266,76.923,0.45804,1.10534,1.2335,5.1614,1.5218
0.66300,0.71551,1.3994,4.6935,77.942,0.45771,1.09782,1.2350,5.1711,1.5138
0.65820,0.70852,1.3857,4.6476,77.399,0.45343,1.08968,1.2232,5.1338,1.5065
0.65738,0.71403,1.3965,4.6837,77.101,0.45302,1.09697,1.2321,5.1275,1.5122
